Position,Coverage
1,190
2,189
3,190
4,187
5,188
6,187
7,189
8,185
9,184
10,184
11,182
12,182
13,182
14,181
15,178
16,174
17,170
18,169
19,168
20,168
21,168
22,168
23,167
24,170
25,171
26,171
27,172
28,175
29,175
30,172
31,172
32,171
33,170
34,171
35,171
36,172
37,170
38,170
39,170
40,170
41,167
42,168
43,169
44,171
45,171
46,169
47,170
48,170
49,171
50,172
51,173
52,175
53,175
54,173
55,173
56,174
57,172
58,173
59,175
60,173
61,174
62,176
63,177
64,177
65,177
66,179
67,178
68,179
69,181
70,181
71,182
72,183
73,194
74,196
75,196
76,195
77,193
78,196
79,199
80,200
81,201
82,198
83,200
84,199
85,198
86,200
87,199
88,198
89,198
90,197
91,198
92,198
93,201
94,201
95,200
96,197
97,192
98,194
99,194
100,197
101,197
102,196
103,195
104,196
105,196
106,193
107,192
108,192
109,192
110,191
111,192
112,193
113,193
114,193
115,190
116,191
117,194
118,193
119,194
120,193
121,191
122,191
123,194
124,195
125,195
126,195
127,195
128,194
129,192
130,189
131,188
132,187
133,184
134,179
135,180
136,179
137,178
138,176
139,177
140,176
141,175
142,177
143,177
144,177
145,176
146,178
147,178
148,181
149,178
150,177
151,179
152,179
153,179
154,179
155,181
156,179
157,179
158,179
159,180
160,180
161,181
162,182
163,182
164,182
165,183
166,184
167,183
168,183
169,183
170,185
171,185
172,185
173,187
174,184
175,182
176,183
177,182
178,180
179,182
180,182
181,181
182,182
183,183
184,184
185,184
186,183
187,183
188,183
189,185
190,186
191,188
192,187
193,186
194,184
195,186
196,187
197,187
198,186
199,185
200,184
201,184
202,185
203,183
204,183
205,185
206,184
207,184
208,181
209,180
210,180
211,177
212,178
213,179
214,178
215,177
216,176
217,177
218,174
219,171
220,169
221,169
222,169
223,155
224,154
225,156
226,157
227,157
228,155
229,153
230,156
231,154
232,155
233,153
234,154
235,154
236,154
237,160
238,161
239,161
240,162
241,161
242,160
243,162
244,162
245,163
246,163
247,165
248,163
249,162
250,159
251,160
252,161
253,160
254,159
255,160
256,161
257,161
258,162
259,162
260,161
261,163
262,163
263,164
264,163
265,164
266,163
267,158
268,160
269,161
270,163
271,164
272,165
273,161
274,160
275,161
276,162
277,161
278,162
279,162
280,162
281,163
282,164
283,162
284,161
285,161
286,160
287,161
288,161
289,160
290,164
291,164
292,166
293,165
294,165
295,164
296,162
297,161
298,160
299,171
300,171
301,170
302,169
303,168
304,167
305,168
306,168
307,168
308,170
309,171
310,171
311,171
312,172
313,172
314,174
315,174
316,171
317,172
318,171
319,175
320,176
321,178
322,180
323,178
324,177
325,178
326,179
327,179
328,178
329,176
330,178
331,180
332,181
333,182
334,179
335,181
336,182
337,183
338,184
339,183
340,182
341,181
342,181
343,183
344,184
345,182
346,182
347,182
348,184
349,188
350,188
351,187
352,184
353,186
354,187
355,185
356,187
357,191
358,190
359,191
360,193
361,194
362,193
363,189
364,192
365,195
366,194
367,193
368,191
369,191
370,192
371,192
372,191
373,190
374,189
375,189
376,190
377,190
378,191
379,190
380,187
381,188
382,187
383,186
384,187
385,187
386,186
387,182
388,182
389,181
390,179
391,180
392,181
393,181
394,181
395,181
396,181
397,179
398,179
