Position,Coverage
1,3514
2,3506
3,3508
4,3506
5,3508
6,3502
7,3503
8,3504
9,3501
10,3501
11,3508
12,3517
13,3519
14,3523
15,3524
16,3521
17,3523
18,3514
19,3511
20,3536
21,3533
22,3537
23,3529
24,3540
25,3544
26,3548
27,3541
28,3549
29,3554
30,3561
31,3566
32,3570
33,3584
34,3565
35,3555
36,3564
37,3559
38,3567
39,3558
40,3558
41,3563
42,3561
43,3564
44,3558
45,3559
46,3569
47,3557
48,3548
49,3549
50,3556
51,3553
52,3562
53,3566
54,3554
55,3551
56,3560
57,3551
58,3562
59,3555
60,3555
61,3559
62,3552
63,3547
64,3545
65,3541
66,3534
67,3544
68,3562
69,3553
70,3553
71,3549
72,3561
73,3592
74,3590
75,3601
76,3618
77,3626
78,3633
79,3643
80,3652
81,3659
82,3664
83,3669
84,3669
85,3654
86,3666
87,3680
88,3681
89,3701
90,3694
91,3683
92,3699
93,3689
94,3687
95,3704
96,3702
97,3690
98,3695
99,3708
100,3702
101,3699
102,3697
103,3707
104,3707
105,3702
106,3709
107,3709
108,3704
109,3700
110,3709
111,3717
112,3730
113,3736
114,3731
115,3725
116,3743
117,3752
118,3736
119,3734
120,3751
121,3763
122,3763
123,3762
124,3795
125,3803
126,3821
127,3816
128,3813
129,3827
130,3826
131,3831
132,3845
133,3830
134,3824
135,3840
136,3827
137,3838
138,3853
139,3866
140,3867
141,3872
142,3870
143,3870
144,3870
145,3867
146,3877
147,3881
148,3897
149,3903
150,3897
151,3908
152,3911
153,3930
154,3942
155,3935
156,3939
157,3932
158,3929
159,3947
160,3949
161,3941
162,3944
163,3954
164,3949
165,3951
166,3987
167,3988
168,3996
169,4003
170,3987
171,3980
172,3971
173,3977
174,3982
175,3993
176,3995
177,4012
178,4000
179,4005
180,4002
181,4003
182,4013
183,4001
184,4018
185,4017
186,4009
187,4011
188,4011
189,4009
190,4002
191,4002
192,4004
193,4008
194,4009
195,4008
196,3998
197,4004
198,4001
199,4025
200,4033
201,4047
202,4046
203,4041
204,4049
205,4054
206,4045
207,4042
208,4044
209,4047
210,4028
211,4013
212,4011
213,4027
214,4025
215,4025
216,4020
217,4014
218,3993
219,3995
220,4004
221,4015
222,4002
223,3992
224,4018
225,4026
226,4028
227,4027
228,4036
229,4038
230,4044
231,4059
232,4044
233,4042
234,4044
235,4056
236,4045
237,4032
238,4049
239,4036
240,4046
241,4059
242,4051
243,4043
244,4046
245,4032
246,4038
247,4047
248,4058
249,4063
250,4079
251,4094
252,4103
253,4098
254,4099
255,4111
256,4109
257,4111
258,4128
259,4127
260,4118
261,4094
262,4107
263,4121
264,4124
265,4122
266,4116
267,4115
268,4133
269,4143
270,4148
271,4161
272,4164
273,4176
274,4154
275,4154
276,4143
277,4154
278,4170
279,4146
280,4141
281,4146
282,4143
283,4157
284,4147
285,4133
286,4127
287,4132
288,4121
289,4109
290,4117
291,4119
292,4136
293,4142
294,4150
295,4152
296,4139
297,4139
298,4133
299,4160
300,4171
301,4164
302,4161
303,4146
304,4135
305,4151
306,4148
307,4150
308,4163
309,4160
310,4155
311,4154
312,4157
313,4149
314,4138
315,4133
316,4097
317,4092
318,4111
319,4106
320,4103
321,4115
322,4122
323,4118
324,4102
325,4080
326,4086
327,4075
328,4078
329,4068
330,4068
331,4056
332,4042
333,4028
334,4013
335,4011
336,4032
337,4028
338,4028
339,4034
340,4030
341,4033
342,4033
343,4040
344,4029
345,4041
346,4048
347,4060
348,4055
349,4047
350,4029
351,4021
352,4004
353,4010
354,4039
355,4036
356,4057
357,4073
358,4071
359,4062
360,4077
361,4097
362,4097
363,4087
364,4087
365,4080
366,4086
367,4083
368,4081
369,4092
370,4094
371,4102
372,4103
373,4096
374,4070
375,4058
376,4069
377,4068
378,4053
379,4049
380,4043
381,4017
382,4023
383,4017
384,4011
385,4014
386,4015
387,4029
388,4015
389,4017
390,4013
391,4003
392,3996
393,3992
394,3991
395,4010
396,4007
397,4023
398,4037
399,4033
400,4009
401,4009
402,4001
403,3995
404,3998
405,3983
406,3989
407,3999
408,3980
409,3990
410,3993
411,4009
412,4002
413,3990
414,3995
415,3994
416,3993
417,3994
418,3977
419,3985
420,3964
421,3953
422,3953
423,3944
424,3947
425,3948
426,3946
427,3943
428,3932
429,3935
430,3925
431,3917
432,3927
433,3919
434,3921
435,3918
436,3933
437,3915
438,3916
439,3954
440,3956
441,3970
442,3968
443,3977
444,3973
445,3978
446,3974
447,3964
448,3960
449,3939
450,3950
451,3953
452,3959
453,3972
454,3971
455,3992
456,4013
457,4009
458,4001
459,3998
460,4013
461,4013
462,4000
463,4002
464,4008
465,4027
466,4021
467,4027
468,4006
469,4001
470,4004
471,3987
472,3981
473,3995
474,3997
475,4001
476,3991
477,3987
478,3998
479,4009
480,4011
481,4042
482,4045
483,4040
484,4046
485,4061
486,4046
487,4049
488,4057
489,4069
490,4070
491,4063
492,4061
493,4045
494,4047
495,4033
496,4028
497,4012
498,4022
499,4002
500,4011
501,4005
502,4009
503,4022
504,3988
505,3986
506,3962
507,3962
508,3970
509,3985
510,3973
511,3970
512,3972
513,3971
514,3962
515,3976
516,3977
517,3975
518,3982
519,3967
520,3959
521,3950
522,3943
523,3940
524,3940
525,3944
526,3941
527,3932
528,3924
529,3925
530,3919
531,3939
532,3938
533,3931
534,3936
535,3909
536,3902
537,3891
538,3892
539,3886
540,3892
541,3903
542,3899
543,3900
544,3893
545,3874
546,3865
547,3852
548,3834
549,3825
550,3836
551,3840
552,3836
553,3834
554,3817
555,3816
556,3817
557,3806
558,3806
559,3794
560,3790
561,3788
562,3773
563,3767
564,3766
565,3774
566,3768
567,3759
568,3768
569,3756
570,3763
571,3761
572,3763
573,3778
574,3765
575,3754
576,3756
577,3747
578,3737
579,3743
580,3750
581,3751
582,3734
583,3724
584,3722
585,3715
586,3710
587,3719
588,3707
589,3678
590,3657
591,3643
592,3654
593,3634
594,3631
595,3628
596,3632
597,3635
598,3645
599,3640
600,3630
601,3622
602,3632
603,3614
604,3610
605,3580
606,3564
607,3575
